0.327604	-0.137986	-0.468594	0.327604
0.339206	-0.138051	-0.480249	0.339206
0.345051	-0.138115	-0.486146	0.345051
0.345161	-0.138179	-0.486308	0.345161
0.345270	-0.138242	-0.480758	0.345270
0.345379	-0.132595	-0.480941	0.345379
0.345486	-0.132681	-0.481122	0.345486
0.345593	-0.132767	-0.475593	0.345593
0.345699	-0.132852	-0.481505	0.345699
0.351514	-0.138647	-0.487394	0.351514
0.357305	-0.138708	-0.498967	0.357305
0.357362	-0.144479	-0.499073	0.357362
0.345997	-0.150226	-0.499177	0.345997
0.346099	-0.155949	-0.499280	0.346099
0.346200	-0.155938	-0.499382	0.346200
0.346301	-0.144507	-0.493772	0.346301
0.352110	-0.138832	-0.488185	0.352110
0.352186	-0.144601	-0.494041	0.352186
0.357971	-0.144636	-0.499872	0.357971
0.358021	-0.144671	-0.505679	0.358021
0.346650	-0.150416	-0.500040	0.346650
0.341035	-0.150426	-0.488714	0.341035
0.341153	-0.139016	-0.483144	0.341153
0.341271	-0.139073	-0.477596	0.341271
0.347098	-0.133419	-0.477780	0.347098
0.347190	-0.139209	-0.489384	0.347190
0.352992	-0.139265	-0.495230	0.352992
0.358769	-0.145030	-0.501050	0.358769
0.353102	-0.150772	-0.501136	0.353102
0.347457	-0.150780	-0.501221	0.347457
0.347546	-0.145077	-0.489885	0.347546
0.347633	-0.133687	-0.484304	0.347633
0.353430	-0.122344	-0.473035	0.353430
0.364914	-0.111047	-0.473233	0.364914
0.370639	-0.099796	-0.473429	0.370639
0.387760	-0.088592	-0.479334	0.387760
0.387680	-0.083144	-0.468084	0.387680
0.381889	-0.077719	-0.456879	0.381889
0.376121	-0.066606	-0.440010	0.376121
0.370376	-0.061250	-0.428919	0.370376
0.370364	-0.055916	-0.423585	0.370364
0.381772	-0.050604	-0.429692	0.381772
0.398843	-0.051025	-0.447195	0.398843
0.410133	-0.045734	-0.458916	0.410133
0.415665	-0.046176	-0.464878	0.415665
0.409753	-0.052327	-0.465105	0.409753
0.403864	-0.052744	-0.459620	0.403864
0.409418	-0.053159	-0.459868	0.409418
0.403529	-0.059283	-0.465824	0.403529
0.403373	-0.065383	-0.466045	0.403373
0.403216	-0.065748	-0.471975	0.403216
0.414480	-0.066112	-0.477881	0.414480
0.414276	-0.072185	-0.483761	0.414276
0.408361	-0.078234	-0.489617	0.408361
0.402470	-0.089969	-0.495448	0.402470
0.402312	-0.095945	-0.495544	0.402312
0.396443	-0.101897	-0.495639	0.396443
0.402018	-0.096405	-0.495733	0.402018
0.401860	-0.102355	-0.507247	0.401860
0.401700	-0.113992	-0.518712	0.401700
0.401541	-0.119871	-0.518709	0.401541
0.389960	-0.131436	-0.518705	0.389960
